study_hours,execution_hours,goal,productivity
0,1,exam,12.25
1,0,exam,15.25
0,2,exam,16.39
1,1,exam,27.64
2,0,exam,19.39
0,3,exam,19.57
1,2,exam,27.07
2,1,exam,29.57
3,0,exam,22.57
0,4,exam,22.25
1,3,exam,27.88
2,2,exam,33.5
3,1,exam,30.88
4,0,exam,25.25
0,5,exam,24.61
1,4,exam,29.11
2,3,exam,33.61
3,2,exam,35.11
4,1,exam,32.11
5,0,exam,27.61
0,6,exam,26.74
1,5,exam,30.49
2,4,exam,34.24
3,3,exam,37.99
4,2,exam,36.74
5,1,exam,33.49
6,0,exam,29.74
0,7,exam,28.71
1,6,exam,31.92
2,5,exam,35.14
3,4,exam,38.35
4,3,exam,39.42
5,2,exam,38.14
6,1,exam,34.92
7,0,exam,31.71
0,8,exam,30.53
1,7,exam,33.35
2,6,exam,36.16
3,5,exam,38.97
4,4,exam,41.78
5,3,exam,40.85
6,2,exam,39.16
7,1,exam,36.35
8,0,exam,33.53
0,1,project,15.25
1,0,project,12.25
0,2,project,19.39
1,1,project,27.64
2,0,project,16.39
0,3,project,22.57
1,2,project,29.57
2,1,project,27.07
3,0,project,19.57
0,4,project,25.25
1,3,project,30.88
2,2,project,33.5
3,1,project,27.88
4,0,project,22.25
0,5,project,27.61
1,4,project,32.11
2,3,project,35.11
3,2,project,33.61
4,1,project,29.11
5,0,project,24.61
0,6,project,29.74
1,5,project,33.49
2,4,project,36.74
3,3,project,37.99
4,2,project,34.24
5,1,project,30.49
6,0,project,26.74
0,7,project,31.71
1,6,project,34.92
2,5,project,38.14
3,4,project,39.42
4,3,project,38.35
5,2,project,35.14
6,1,project,31.92
7,0,project,28.71
0,8,project,33.53
1,7,project,36.35
2,6,project,39.16
3,5,project,40.85
4,4,project,41.78
5,3,project,38.97
6,2,project,36.16
7,1,project,33.35
8,0,project,30.53
0,1,chill,13.75
1,0,chill,13.75
0,2,chill,17.89
1,1,chill,29.14
2,0,chill,17.89
0,3,chill,21.07
1,2,chill,28.57
2,1,chill,28.57
3,0,chill,21.07
0,4,chill,23.75
1,3,chill,29.38
2,2,chill,35.0
3,1,chill,29.38
4,0,chill,23.75
0,5,chill,26.11
1,4,chill,30.61
2,3,chill,35.11
3,2,chill,35.11
4,1,chill,30.61
5,0,chill,26.11
0,6,chill,28.24
1,5,chill,31.99
2,4,chill,35.74
3,3,chill,39.49
4,2,chill,35.74
5,1,chill,31.99
6,0,chill,28.24
0,7,chill,30.21
1,6,chill,33.42
2,5,chill,36.64
3,4,chill,39.85
4,3,chill,39.85
5,2,chill,36.64
6,1,chill,33.42
7,0,chill,30.21
0,8,chill,32.03
1,7,chill,34.85
2,6,chill,37.66
3,5,chill,40.47
4,4,chill,43.28
5,3,chill,40.47
6,2,chill,37.66
7,1,chill,34.85
8,0,chill,32.03
